"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacfulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking"
"355","Lianne La Havas","What You Don't Do",11.98,5.29,2.06,10.31,8.79,21.61,10.19,5.65,0,20.12,22.11,5.13,0.78,1.22,2.93
"356","Maggie reilly","Everytime We Touch",8.2,1.92,15.73,15.6,15.24,11.9,6.33,7.07,2.22,24.1,12.6,8.5,0.69,3.52,3.11
"357","Akon","Lonely",13.64,2.14,24.86,10.93,11.95,16.03,2,1.78,16.04,26.2,14.7,13.57,0.83,3.81,3.7
"358","Tame Impala","The Less I Know The Better",14.54,5.1,19.3,12.06,25.56,17.71,6.05,3.25,1.91,26.33,18,4.54,0.88,2.28,2.97
"359","Bag Raiders","Shooting Stars",19.07,5.8,15.17,6.94,17.66,32.65,9.08,7.27,0.22,21.83,28.91,6.88,0.91,2.94,3.32
"360","Gary Jules","Mad World",15.38,9.08,40.33,9.22,16.79,2.16,0.98,4.1,29.94,32.26,2.91,24.33,0.94,4.58,3.76
"361","Mark Ronson","Uptown Funk",19.7,5.93,7.1,1.68,17.02,47.74,32.13,6.57,0,24.22,43.36,5.74,0.96,4.29,3.45
"362","The Beatles","Let It Be",19.89,15.58,38.24,23.23,33.2,13.48,6.62,0.99,5.87,38.32,13.26,5.24,0.93,3.94,3.68
"363","Eric Clapton","Tears In Heaven",20.58,17.92,39.12,23.74,27.36,3.86,2.94,1.26,19.84,38.41,4.39,15.56,0.92,3.1,3.55
"364","Lola Marsh","Wishing Girl",9.06,9.91,6.11,8.35,15.37,13.88,4.13,5.42,0.35,19.64,12.03,4.33,0.7,1.81,2.81
"365","Bilderbuch","Maschin",7.28,2.44,5.07,2.53,9.92,20.14,10.14,10.48,0,12.55,18.63,9.69,0.84,1.89,2.3
"366","Fletwood Mac","Dreams",12.04,9.35,22,17.41,22.82,14.06,3.24,1.71,1.36,26.69,13.38,2.18,0.88,2.93,3.52
"367","Oasis","Don't Look Back In Anger",10.31,7.6,31.85,14.1,15,18.47,3.99,6.56,10.03,26.27,17.74,11.55,0.84,3.89,3.44
"368","Der Junge mit der Gitarre","Hallo Worum Gehts Ich Bin Dagegen",11.2,8.11,0,0,4.2,27.52,15.02,8.74,1.33,13.45,30.34,9.19,0.89,1.28,2.31
"369","Chris Brown","Forever",17.44,1.79,10.14,10.42,5.66,26.2,11.26,9.63,0,22.56,24.38,8.71,0.81,2.48,2.86
"370","Ryan Adams","Lucky Now",14.44,9.07,13.75,17.13,30.12,16.12,4.26,9.06,3.42,29.92,15.01,11.2,0.79,1.28,2.72
"371","Amy Winehouse","Back To Black",16.98,11.66,29.96,17.91,17.17,16.15,10.72,1.66,4.97,32.93,19.9,5.7,0.79,3.97,3.83
